snapshot_id,webcam_id,is_sunset,rating,day,p_sunset,quality,shown,tile,url
67270,5203,0,,2026-02-09,0.0,0.4645,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5203/1770680594282.jpg
67314,10994860,0,,2026-02-09,0.0002,0.2537,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10994860/1770680757167.jpg
67327,8244967,0,,2026-02-09,0.0543,0.1497,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/8244967/1770680797650.jpg
68841,1725339,0,,2026-02-11,0.0216,0.369,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/1725339/1770850766686.jpg
68854,1725339,0,,2026-02-11,0.0006,0.4654,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/1725339/1770852626876.jpg
68857,10995573,0,,2026-02-11,0.0017,0.2664,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10995573/1770852812261.jpg
68913,11459,1,1,2026-02-12,0.1333,0.4435,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11459/1770861685929.jpg
69141,3236,0,,2026-02-12,0.0046,0.1504,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3236/1770907705458.jpg
69149,3236,0,,2026-02-12,0.0026,0.1017,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3236/1770909565295.jpg
69157,3236,0,,2026-02-12,0.0026,0.1017,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3236/1770911425713.jpg
69162,447,0,,2026-02-12,0.0013,0.3217,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/447/1770912505678.jpg
69238,160,0,,2026-02-12,0.087,0.3116,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/160/1770922885263.jpg
69317,7084,0,,2026-02-12,0.0052,0.4503,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/7084/1770936216840.jpg
69331,10300,0,,2026-02-12,0.0012,0.7007,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10300/1770938084501.jpg
69420,15293,0,,2026-02-13,0.0019,0.6866,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/15293/1770951848487.jpg
69435,10488190,1,1,2026-02-13,0.032,0.2816,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10488190/1770954401722.jpg
69448,2921351,0,,2026-02-13,0.0471,0.298,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/2921351/1770955028094.jpg
69472,137,1,3,2026-02-13,1.0,0.3747,1,0.3747,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/137/1770959288012.jpg
69486,1946,0,,2026-02-13,0.0001,0.0634,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/1946/1770962527959.jpg
69494,6148965,1,1,2026-02-13,0.0323,0.1727,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/6148965/1770964988225.jpg
69520,8616196,0,,2026-02-13,0.0013,0.334,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/8616196/1770968577159.jpg
69536,11742298,1,2,2026-02-13,0.97,0.5219,1,0.5219,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11742298/1770971209172.jpg
69557,3631982,0,,2026-02-13,0.0006,0.4142,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3631982/1770975649202.jpg
69726,160,1,1,2026-02-13,0.5808,0.1846,1,0.1846,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/160/1771007329647.jpg
69770,3236,0,,2026-02-13,0.016,0.1773,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3236/1771013928996.jpg
69806,7084,0,,2026-02-13,0.0022,0.3727,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/7084/1771022629640.jpg
69813,1725339,0,,2026-02-13,0.0638,0.4047,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/1725339/1771023593168.jpg
69822,9220,0,,2026-02-13,0.0025,0.6116,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/9220/1771025089832.jpg
69919,609,0,,2026-02-14,0.0001,0.3917,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/609/1771044949388.jpg
69923,137,1,1,2026-02-14,0.9806,0.2597,1,0.2597,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/137/1771045669618.jpg
69943,9540652,0,,2026-02-14,0.0822,0.4912,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/9540652/1771050648748.jpg
69982,544,0,,2026-02-14,0.0,0.2178,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/544/1771060729415.jpg
70017,544,0,,2026-02-14,0.0001,0.3869,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/544/1771068710538.jpg
70027,544,0,,2026-02-14,0.0004,0.4601,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/544/1771070569414.jpg
70033,548,1,1,2026-02-14,0.98,0.303,1,0.303,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/548/1771071529454.jpg
70046,3236,0,,2026-02-14,0.0339,0.0436,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3236/1771074469181.jpg
70070,11181337,0,,2026-02-14,0.0004,0.518,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11181337/1771079209195.jpg
70102,11742298,0,,2026-02-14,0.0375,0.1624,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11742298/1771086410768.jpg
70198,10300,0,,2026-02-14,0.0012,0.5214,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10300/1771102008594.jpg
70206,15293,1,4,2026-02-14,0.9592,0.6321,1,0.6321,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/15293/1771103209716.jpg
70244,9220,0,,2026-02-14,0.0005,0.98,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/9220/1771111909464.jpg
70277,12451,1,3,2026-02-15,0.9992,0.5074,1,0.5074,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12451/1771117489961.jpg
70327,6148965,0,,2026-02-15,0.0,0.4405,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/6148965/1771130208858.jpg
70337,6148965,0,,2026-02-15,0.0,0.4327,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/6148965/1771132068948.jpg
70354,11742298,0,,2026-02-15,0.0,0.7295,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11742298/1771135369058.jpg
70370,8695193,0,,2026-02-15,0.0,0.2157,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/8695193/1771140289734.jpg
70411,12207849,0,,2026-02-15,0.0027,0.8685,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12207849/1771148210043.jpg
70421,4011125,0,,2026-02-15,0.0111,0.4656,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4011125/1771150429453.jpg
70436,11181337,0,,2026-02-15,0.0,0.312,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11181337/1771153789453.jpg
70447,11181337,0,,2026-02-15,0.0001,0.3084,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11181337/1771155649468.jpg
70459,11181337,0,,2026-02-15,0.0001,0.2772,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11181337/1771157509426.jpg
70471,11459,0,,2026-02-15,0.0354,0.1733,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11459/1771160389834.jpg
70522,4831942,1,1,2026-02-15,0.0172,0.448,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4831942/1771170289838.jpg
70628,3236,0,,2026-02-15,0.0001,0.1248,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3236/1771187088872.jpg
70675,5006,0,,2026-02-15,0.0003,0.1304,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5006/1771198009729.jpg
70683,6535,1,3,2026-02-15,0.9977,0.6721,1,0.6721,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/6535/1771199089748.jpg
70769,160,0,,2026-02-16,0.0,-0.0518,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/160/1771217629142.jpg
70770,368,0,,2026-02-16,0.0447,0.472,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/368/1771217869087.jpg
70792,11742298,0,,2026-02-16,0.0,0.6639,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11742298/1771221649299.jpg
70804,9540652,0,,2026-02-16,0.0349,0.2373,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/9540652/1771225249256.jpg
70822,11742298,1,2,2026-02-16,0.6887,0.3874,1,0.3874,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11742298/1771230109114.jpg
70865,3236,0,,2026-02-16,0.0002,0.2032,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3236/1771239409085.jpg
70875,3236,0,,2026-02-16,0.0002,0.2032,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3236/1771241269349.jpg
71053,10300,0,,2026-02-16,0.0004,0.5951,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10300/1771273248935.jpg
71090,7084,0,,2026-02-16,0.0018,0.4418,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/7084/1771281951040.jpg
71095,15293,1,4,2026-02-16,0.9866,0.7983,1,0.7983,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/15293/1771282670566.jpg
71213,312,0,,2026-02-17,0.0003,0.7435,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/312/1771306549432.jpg
71241,6148965,0,,2026-02-17,0.0,0.0869,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/6148965/1771313748972.jpg
71380,6148965,0,,2026-02-17,0.0,-0.0315,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/6148965/1771342011214.jpg
71406,12621490,1,1,2026-02-17,0.9843,0.4488,1,0.4488,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12621490/1771346514423.jpg
71532,160,0,,2026-02-17,0.0,0.078,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/160/1771368589813.jpg
71536,1725339,0,,2026-02-17,0.0067,0.3683,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/1725339/1771369310876.jpg
71540,5006,0,,2026-02-17,0.0028,0.0967,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5006/1771370210328.jpg
71547,10995573,0,,2026-02-17,0.0001,0.2143,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10995573/1771371349867.jpg
71592,5006,0,,2026-02-18,0.0,-0.355,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5006/1771380169712.jpg
71647,308,0,,2026-02-18,0.0001,0.4214,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/308/1771393369610.jpg
71669,6148965,0,,2026-02-18,0.0,0.0759,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/6148965/1771399968813.jpg
71696,1946,0,,2026-02-18,0.0002,0.2986,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/1946/1771405309184.jpg
71711,3914190,1,2,2026-02-18,0.9979,0.3353,1,0.3353,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3914190/1771407349763.jpg
71714,7317,0,,2026-02-18,0.0,0.1888,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/7317/1771408309548.jpg
71721,3914190,1,2,2026-02-18,0.9989,0.3968,1,0.3968,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3914190/1771409209550.jpg
71790,4831942,0,,2026-02-18,0.1795,0.2518,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4831942/1771424389545.jpg
71809,160,0,,2026-02-18,0.0223,0.3276,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/160/1771428770262.jpg
71849,562859,0,,2026-02-18,0.0094,0.3409,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/562859/1771437110529.jpg
71861,11742298,0,,2026-02-18,0.0001,0.6198,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11742298/1771438555774.jpg
71940,1725339,0,,2026-02-18,0.4256,0.239,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/1725339/1771455709510.jpg
71950,1725339,0,,2026-02-18,0.0177,0.3947,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/1725339/1771457510482.jpg
71952,10995573,0,,2026-02-18,0.0001,0.148,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10995573/1771457750241.jpg
71979,3742094,0,,2026-02-19,0.0083,0.414,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3742094/1771462729408.jpg
72041,368,0,,2026-02-19,0.0002,0.4208,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/368/1771477608979.jpg
72129,4301906,0,,2026-02-19,0.0216,0.6174,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4301906/1771495549002.jpg
72175,11459,0,,2026-02-19,0.0038,0.133,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11459/1771504189502.jpg
72193,11459,0,,2026-02-19,0.0224,0.1854,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11459/1771509769411.jpg
72232,12722034,0,,2026-02-19,0.0013,0.4517,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12722034/1771520092306.jpg
72333,5006,1,2,2026-02-19,0.9584,0.2672,1,0.2672,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5006/1771540849789.jpg
72421,6148965,0,,2026-02-20,0.0,0.4964,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/6148965/1771561254283.jpg
72455,8695193,0,,2026-02-20,0.1428,0.3074,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/8695193/1771571868969.jpg
72501,3914190,1,3,2026-02-20,0.9845,0.3215,1,0.3215,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3914190/1771580569546.jpg
72576,13131518,0,,2026-02-20,0.0,0.4677,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/13131518/1771599890744.jpg
72585,13131518,0,,2026-02-20,0.0,0.6013,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/13131518/1771601749611.jpg
72610,12621490,0,,2026-02-20,0.0,0.6116,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12621490/1771607749712.jpg
72621,3236,0,,2026-02-20,0.0046,0.0606,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3236/1771609969363.jpg
72632,3236,0,,2026-02-20,0.0046,0.0606,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3236/1771611828979.jpg
72640,16934,0,,2026-02-20,0.0003,0.1062,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/16934/1771613510330.jpg
72690,5006,1,1,2026-02-20,0.013,0.1346,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5006/1771627129822.jpg
72709,160,0,,2026-02-20,0.7666,0.1702,1,0.1702,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/160/1771631689539.jpg
72736,160,0,,2026-02-21,0.1664,0.1299,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/160/1771636789516.jpg
72752,160,0,,2026-02-21,0.0335,0.0116,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/160/1771640509336.jpg
72772,312,1,3,2026-02-21,0.9903,0.5077,1,0.5077,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/312/1771644889257.jpg
72775,5006,0,,2026-02-21,0.0022,0.5657,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5006/1771645489136.jpg
72831,544,1,3,2026-02-21,0.9769,0.3835,1,0.3835,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/544/1771662589032.jpg
72859,3914190,0,,2026-02-21,0.7014,0.3265,1,0.3265,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3914190/1771666969226.jpg
72929,548,0,,2026-02-21,0.0019,0.1656,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/548/1771685629607.jpg
72944,7687669,0,,2026-02-21,0.0017,0.4013,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/7687669/1771689409466.jpg
73210,3914190,0,,2026-02-22,0.7858,0.3447,1,0.3447,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3914190/1771753429360.jpg
73271,11459,0,,2026-02-22,0.0003,0.1222,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/11459/1771769029950.jpg
73305,13471472,0,,2026-02-22,0.0001,-0.094,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/13471472/1771776889058.jpg
73323,4831942,0,,2026-02-22,0.0002,0.5972,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/4831942/1771780550173.jpg
73350,160,0,,2026-02-22,0.159,0.0631,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/160/1771785408998.jpg
73378,10300,0,,2026-02-22,0.0006,0.5827,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/10300/1771792669140.jpg
73381,3236,0,,2026-02-22,0.0019,0.1695,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3236/1771793330207.jpg
73461,12451,1,4,2026-02-23,0.9999,0.6212,1,0.6212,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/12451/1771810132882.jpg
73489,15293,0,,2026-02-23,0.0018,0.6934,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/15293/1771815949670.jpg
73528,13476704,0,,2026-02-23,0.0016,0.3739,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/13476704/1771825608953.jpg
73531,5222445,0,,2026-02-23,0.0024,0.231,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/5222445/1771826328932.jpg
73532,1946,0,,2026-02-23,0.0035,0.0499,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/1946/1771826389244.jpg
73590,3914190,1,2,2026-02-23,0.9958,0.3109,1,0.3109,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3914190/1771839829125.jpg
73664,548,0,,2026-02-23,0.0,0.4914,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/548/1771858789666.jpg
73703,13471472,0,,2026-02-23,0.0021,0.5974,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/13471472/1771867429172.jpg
73718,548,0,,2026-02-23,0.0007,0.4064,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/548/1771870849315.jpg
73789,7661213,0,,2026-02-23,0.0024,0.3778,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/7661213/1771887829735.jpg
73845,13476704,0,,2026-02-24,0.2802,0.7556,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/13476704/1771900909669.jpg
73884,13476704,1,1,2026-02-24,0.417,0.4855,0,0.0,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/13476704/1771911829182.jpg
73933,3914190,0,,2026-02-24,0.6316,0.2844,1,0.2844,https://storage.googleapis.com/sunrisesunset-32a25.firebasestorage.app/snapshots/3914190/1771924370074.jpg
