LLM Rater
  Provider: anthropic
  Model: claude-sonnet-4-5
  Source: webcam
  RPM limit: 50
  Download timeout: 30s
  API timeout:      60s
  Skip rated: True
  Write to DB: True
  Dry run: False
  Verbose: False
  Output: ml/artifacts/llm_ratings/ratings_20260507_071316.csv
Connecting to Postgres…
  connected.
  Images to rate: 29611
[1/29611] record 66407: q=0.65 sunset=True conf=0.75  (dl 0.2s, api 8.8s, total 9.1s)
[28/29611] record 66434: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.0s, total 4.1s)
[29/29611] record 66435: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.6s, total 4.8s)
[30/29611] record 66436: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.9s, total 4.1s)
[31/29611] record 66437: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.7s, total 2.9s)
[32/29611] record 66438: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.8s, total 3.0s)
[33/29611] record 66439: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.1s)
[34/29611] record 66440: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.6s, total 3.8s)
[35/29611] record 66441: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.2s, total 3.4s)
[36/29611] record 66442: q=0.25 sunset=True conf=0.70  (dl 0.2s, api 4.0s, total 4.1s)
[37/29611] record 66443: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.4s, total 3.6s)
[38/29611] record 66444: q=0.55 sunset=True conf=0.75  (dl 0.2s, api 4.7s, total 4.9s)
[39/29611] record 66445: q=0.45 sunset=True conf=0.75  (dl 0.3s, api 3.9s, total 4.2s)
[40/29611] record 66446: q=0.45 sunset=True conf=0.75  (dl 0.3s, api 4.0s, total 4.3s)
[41/29611] record 66447: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.2s, total 3.5s)
[42/29611] record 66448: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 4.5s, total 4.7s)
[43/29611] record 66449: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.7s, total 3.9s)
[44/29611] record 66450: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.5s, total 3.7s)
[45/29611] record 66451: q=0.72 sunset=True conf=0.85  (dl 0.2s, api 4.3s, total 4.5s)
[46/29611] record 66452: q=0.65 sunset=True conf=0.85  (dl 0.2s, api 4.3s, total 4.5s)
[47/29611] record 66453: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 3.3s, total 3.4s)
[48/29611] record 66454: q=0.65 sunset=True conf=0.75  (dl 0.2s, api 4.3s, total 4.4s)
[49/29611] record 66455: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.2s)
[50/29611] record 66456: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.4s, total 3.6s)
[51/29611] record 66457: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 3.2s, total 3.4s)
[52/29611] record 66458: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.1s, total 4.2s)
[53/29611] record 66459: q=0.55 sunset=True conf=0.75  (dl 0.2s, api 4.4s, total 4.5s)
[54/29611] record 66460: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.6s, total 2.8s)
[55/29611] record 66461: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 5.5s, total 5.8s)
[56/29611] record 66462: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.2s)
[57/29611] record 66463: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.6s, total 2.8s)
[58/29611] record 66464: q=0.65 sunset=True conf=0.75  (dl 0.2s, api 4.3s, total 4.4s)
[59/29611] record 66465: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 4.7s, total 4.9s)
[60/29611] record 66466: q=0.25 sunset=True conf=0.60  (dl 0.2s, api 3.2s, total 3.4s)
[61/29611] record 66467: q=0.35 sunset=True conf=0.75  (dl 0.2s, api 3.9s, total 4.0s)
[62/29611] record 66468: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 6.2s, total 6.4s)
[63/29611] record 66469: q=0.00 sunset=False conf=0.95  (dl 0.1s, api 3.4s, total 3.5s)
[64/29611] record 66470: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.7s, total 4.9s)
[65/29611] record 66471: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 6.6s, total 6.8s)
[66/29611] record 66472: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.3s, total 3.5s)
[67/29611] record 66473: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.1s)
[68/29611] record 66474: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.2s)
[69/29611] record 66475: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 3.2s, total 3.4s)
[70/29611] record 66476: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 3.8s, total 4.0s)
[71/29611] record 66477: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.7s, total 3.9s)
[72/29611] record 66478: q=0.00 sunset=False conf=1.00  (dl 0.1s, api 2.6s, total 2.7s)
[73/29611] record 66479: q=0.25 sunset=True conf=0.70  (dl 0.2s, api 2.8s, total 3.0s)
[74/29611] record 66480: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.1s, total 3.3s)
[75/29611] record 66481: q=0.00 sunset=False conf=0.95  (dl 0.3s, api 3.2s, total 3.4s)
[76/29611] record 66482: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.4s, total 3.6s)
[77/29611] record 66483: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 3.0s, total 3.2s)
[78/29611] record 66484: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 6.5s, total 6.7s)
[79/29611] record 66485: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.9s, total 4.1s)
[80/29611] record 66486: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 6.8s, total 7.0s)
[81/29611] record 66487: q=0.45 sunset=True conf=0.70  (dl 0.3s, api 6.6s, total 6.9s)
[82/29611] record 66488: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.8s, total 3.0s)
[83/29611] record 66489: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 3.9s, total 4.0s)
[84/29611] record 66490: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 4.4s, total 4.6s)
[85/29611] record 66491: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.5s, total 3.7s)
[86/29611] record 66492: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.8s, total 3.0s)
[87/29611] record 66493: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.2s)
[88/29611] record 66494: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.7s, total 3.9s)
[89/29611] record 66495: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.2s, total 3.4s)
[90/29611] record 66496: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 7.6s, total 7.8s)
[91/29611] record 66497: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 6.4s, total 6.6s)
[92/29611] record 66498: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.1s, total 3.3s)
[93/29611] record 66499: q=0.72 sunset=True conf=0.85  (dl 0.2s, api 6.8s, total 7.0s)
[94/29611] record 66502: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.1s, total 3.2s)
[95/29611] record 66503: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.9s, total 3.1s)
[96/29611] record 66504: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.7s, total 3.9s)
[97/29611] record 66505: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 6.7s, total 6.9s)
[98/29611] record 66506: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 3.3s, total 3.5s)
[99/29611] record 66507: q=0.72 sunset=True conf=0.85  (dl 0.2s, api 4.4s, total 4.6s)
[100/29611] record 66508: q=0.55 sunset=True conf=0.75  (dl 0.2s, api 4.1s, total 4.3s)
[101/29611] record 66509: q=0.55 sunset=True conf=0.75  (dl 0.2s, api 3.6s, total 3.7s)
[102/29611] record 66510: q=0.65 sunset=True conf=0.75  (dl 0.2s, api 3.2s, total 3.4s)
[103/29611] record 66511: q=0.72 sunset=True conf=0.85  (dl 0.2s, api 7.2s, total 7.4s)
[104/29611] record 66512: q=0.72 sunset=True conf=0.85  (dl 0.2s, api 3.7s, total 3.9s)
[105/29611] record 66513: q=0.55 sunset=True conf=0.75  (dl 0.2s, api 3.0s, total 3.2s)
[106/29611] record 66514: q=0.55 sunset=True conf=0.70  (dl 0.3s, api 6.1s, total 6.4s)
[107/29611] record 66515: q=0.25 sunset=True conf=0.70  (dl 0.2s, api 3.6s, total 3.8s)
[108/29611] record 66516: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.7s, total 3.8s)
[109/29611] record 66517: q=0.55 sunset=True conf=0.75  (dl 0.2s, api 10.9s, total 11.0s)
[110/29611] record 66518: q=0.72 sunset=True conf=0.75  (dl 0.2s, api 5.4s, total 5.5s)
[111/29611] record 66519: q=0.25 sunset=True conf=0.60  (dl 0.2s, api 3.8s, total 4.0s)
[112/29611] record 66520: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 5.4s, total 5.6s)
[113/29611] record 66521: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.4s, total 3.6s)
[114/29611] record 66522: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.2s, total 3.4s)
[115/29611] record 66523: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.8s, total 3.0s)
[116/29611] record 66524: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.0s, total 4.1s)
[117/29611] record 66526: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.5s, total 2.7s)
[118/29611] record 66527: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 4.2s, total 4.4s)
[119/29611] record 66528: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 4.0s, total 4.2s)
[120/29611] record 66529: q=0.55 sunset=True conf=0.70  (dl 0.3s, api 4.0s, total 4.4s)
[121/29611] record 66530: q=0.00 sunset=False conf=0.95  (dl 0.3s, api 2.5s, total 2.8s)
[122/29611] record 66531: q=0.00 sunset=False conf=0.95  (dl 0.3s, api 3.9s, total 4.1s)
[123/29611] record 66532: q=0.72 sunset=True conf=0.85  (dl 0.2s, api 5.5s, total 5.8s)
[124/29611] record 66533: q=0.55 sunset=True conf=0.75  (dl 0.2s, api 4.1s, total 4.3s)
[125/29611] record 66534: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 3.6s, total 3.9s)
[126/29611] record 66535: q=0.55 sunset=True conf=0.75  (dl 0.2s, api 4.2s, total 4.4s)
[127/29611] record 66536: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.0s, total 3.2s)
[128/29611] record 66537: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.6s, total 3.7s)
[129/29611] record 66538: q=0.00 sunset=False conf=0.95  (dl 0.3s, api 4.2s, total 4.4s)
[130/29611] record 66539: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.1s, total 3.3s)
[131/29611] record 66540: q=0.55 sunset=True conf=0.75  (dl 0.2s, api 4.4s, total 4.6s)
[132/29611] record 66541: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 6.8s, total 7.0s)
[133/29611] record 66542: q=0.45 sunset=True conf=0.75  (dl 0.3s, api 3.0s, total 3.2s)
[134/29611] record 66543: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 4.9s, total 5.0s)
[135/29611] record 66544: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 4.0s, total 4.2s)
[136/29611] record 66545: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.2s, total 3.3s)
[137/29611] record 66643: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.6s, total 3.8s)
[138/29611] record 66644: q=0.25 sunset=True conf=0.60  (dl 0.2s, api 3.6s, total 3.8s)
[139/29611] record 66645: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.7s, total 3.8s)
[140/29611] record 66646: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.7s, total 3.9s)
[141/29611] record 66647: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.2s, total 3.4s)
[142/29611] record 66648: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.3s, total 3.5s)
[143/29611] record 66649: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 8.6s, total 8.7s)
[144/29611] record 66650: q=0.65 sunset=True conf=0.75  (dl 0.2s, api 3.7s, total 3.9s)
[145/29611] record 66651: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.4s, total 3.7s)
[146/29611] record 66652: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.1s, total 4.3s)
[147/29611] record 66653: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 4.7s, total 4.9s)
[148/29611] record 66654: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.9s, total 3.1s)
[149/29611] record 66655: q=0.65 sunset=True conf=0.75  (dl 0.2s, api 3.9s, total 4.0s)
[150/29611] record 66656: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.6s, total 2.8s)
[151/29611] record 66657: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.9s, total 4.1s)
[152/29611] record 66658: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.4s, total 3.6s)
[153/29611] record 66659: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.6s, total 3.8s)
[154/29611] record 66660: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 4.7s, total 4.9s)
[155/29611] record 66661: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.2s, total 3.4s)
[156/29611] record 66662: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 4.1s, total 4.2s)
[157/29611] record 66663: q=0.65 sunset=True conf=0.75  (dl 0.2s, api 6.0s, total 6.2s)
[158/29611] record 66664: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.9s, total 4.1s)
[159/29611] record 66665: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.3s, total 3.4s)
[160/29611] record 66666: q=0.00 sunset=False conf=0.95  (dl 0.3s, api 4.1s, total 4.3s)
[161/29611] record 66667: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.2s, total 3.4s)
[162/29611] record 66668: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.7s, total 2.9s)
[163/29611] record 66669: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 4.5s, total 4.7s)
[164/29611] record 66670: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.9s, total 3.1s)
[165/29611] record 66671: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 6.3s, total 6.5s)
[166/29611] record 66672: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.6s, total 3.8s)
[167/29611] record 66673: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.7s, total 4.9s)
[168/29611] record 66674: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.6s, total 3.7s)
[169/29611] record 66675: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.5s, total 3.7s)
[170/29611] record 66676: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.6s, total 2.8s)
[171/29611] record 66677: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.2s, total 3.4s)
[172/29611] record 66678: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.9s, total 4.1s)
[173/29611] record 66679: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.6s, total 3.7s)
[174/29611] record 66680: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 6.6s, total 6.8s)
[175/29611] record 66681: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 3.7s, total 3.9s)
[176/29611] record 66682: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.6s, total 3.8s)
[177/29611] record 66683: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.3s, total 3.5s)
[178/29611] record 66684: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.5s, total 3.7s)
[179/29611] record 66685: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.9s, total 4.1s)
[180/29611] record 66686: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 7.1s, total 7.3s)
[181/29611] record 66687: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.1s, total 4.3s)
[182/29611] record 66688: q=0.72 sunset=True conf=0.85  (dl 0.2s, api 4.2s, total 4.3s)
[183/29611] record 66689: q=0.65 sunset=True conf=0.75  (dl 0.2s, api 3.4s, total 3.6s)
[184/29611] record 66690: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.9s, total 5.1s)
[185/29611] record 66691: q=0.00 sunset=False conf=0.95  (dl 0.3s, api 4.2s, total 4.5s)
[186/29611] record 66692: q=0.45 sunset=True conf=0.75  (dl 0.3s, api 3.1s, total 3.4s)
[187/29611] record 66693: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 4.7s, total 4.9s)
[188/29611] record 66694: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.5s, total 3.7s)
[189/29611] record 66695: q=0.55 sunset=True conf=0.75  (dl 0.2s, api 4.2s, total 4.3s)
[190/29611] record 66696: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.7s, total 3.9s)
[191/29611] record 66697: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 5.5s, total 5.6s)
[192/29611] record 66698: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 2.9s, total 3.1s)
[193/29611] record 66699: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 8.1s, total 8.3s)
[194/29611] record 66700: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.3s, total 2.5s)
[195/29611] record 66701: q=0.25 sunset=True conf=0.70  (dl 0.2s, api 5.9s, total 6.1s)
[196/29611] record 66702: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 4.4s, total 4.5s)
[197/29611] record 66703: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 7.5s, total 7.7s)
[198/29611] record 66704: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 2.8s, total 2.9s)
[199/29611] record 66705: q=0.65 sunset=True conf=0.75  (dl 0.2s, api 5.5s, total 5.7s)
[200/29611] record 66706: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.3s, total 4.5s)
[201/29611] record 66707: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.2s, total 3.4s)
[202/29611] record 66708: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.9s, total 4.0s)
[203/29611] record 66709: q=0.35 sunset=True conf=0.75  (dl 0.2s, api 7.1s, total 7.3s)
[204/29611] record 66710: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.8s, total 3.9s)
[205/29611] record 66711: q=0.00 sunset=False conf=0.95  (dl 0.3s, api 4.0s, total 4.2s)
[206/29611] record 66712: q=0.35 sunset=True conf=0.75  (dl 0.2s, api 3.8s, total 3.9s)
[207/29611] record 66713: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 3.7s, total 3.9s)
[208/29611] record 66714: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 5.4s, total 5.6s)
[209/29611] record 66715: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.5s, total 2.7s)
[210/29611] record 66716: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.6s, total 2.8s)
[211/29611] record 66717: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.9s, total 4.1s)
[212/29611] record 66718: q=0.55 sunset=True conf=0.75  (dl 0.2s, api 4.3s, total 4.5s)
[213/29611] record 66719: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 4.0s, total 4.2s)
[214/29611] record 66720: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.1s, total 3.3s)
[215/29611] record 66721: q=0.72 sunset=True conf=0.85  (dl 0.2s, api 4.5s, total 4.7s)
[216/29611] record 66722: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.4s, total 3.6s)
[217/29611] record 66723: q=0.55 sunset=True conf=0.75  (dl 0.2s, api 3.2s, total 3.4s)
[218/29611] record 66724: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.0s, total 3.2s)
[219/29611] record 66725: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.7s, total 3.8s)
[220/29611] record 66726: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.4s, total 2.6s)
[221/29611] record 66727: q=0.72 sunset=True conf=0.85  (dl 0.2s, api 7.9s, total 8.1s)
[222/29611] record 66728: q=0.25 sunset=True conf=0.70  (dl 0.2s, api 3.4s, total 3.6s)
[223/29611] record 66729: q=0.35 sunset=True conf=0.75  (dl 0.2s, api 3.8s, total 4.0s)
[224/29611] record 66730: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.9s, total 4.1s)
[225/29611] record 66731: q=0.65 sunset=True conf=0.75  (dl 0.2s, api 3.1s, total 3.2s)
[226/29611] record 66732: q=0.55 sunset=True conf=0.75  (dl 0.2s, api 2.9s, total 3.1s)
[227/29611] record 66733: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.5s, total 2.7s)
[228/29611] record 66734: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.1s, total 3.2s)
[229/29611] record 66735: q=0.35 sunset=True conf=0.75  (dl 0.2s, api 4.1s, total 4.4s)
[230/29611] record 66736: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 2.7s, total 2.9s)
[231/29611] record 66737: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.3s, total 3.5s)
[232/29611] record 66738: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.4s, total 3.6s)
[233/29611] record 66739: q=0.35 sunset=True conf=0.75  (dl 0.2s, api 3.0s, total 3.2s)
[234/29611] record 66740: q=0.72 sunset=True conf=0.85  (dl 0.2s, api 4.0s, total 4.2s)
[235/29611] record 66741: q=0.00 sunset=False conf=0.95  (dl 0.3s, api 2.9s, total 3.2s)
[236/29611] record 66742: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.3s, total 2.5s)
[237/29611] record 66743: q=0.78 sunset=True conf=0.85  (dl 0.2s, api 4.2s, total 4.3s)
[238/29611] record 66744: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.5s, total 3.7s)
[239/29611] record 66745: q=0.00 sunset=False conf=0.95  (dl 0.3s, api 3.2s, total 3.4s)
[240/29611] record 66746: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 3.1s, total 3.3s)
[241/29611] record 66747: q=0.45 sunset=True conf=0.75  (dl 0.2s, api 3.3s, total 3.5s)
[242/29611] record 66748: q=0.72 sunset=True conf=0.85  (dl 0.2s, api 4.3s, total 4.4s)
[243/29611] record 66749: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.7s, total 2.9s)
[244/29611] record 66750: q=0.00 sunset=False conf=1.00  (dl 0.2s, api 2.7s, total 2.9s)
[245/29611] record 66751: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.3s, total 3.6s)
[246/29611] record 66752: q=0.00 sunset=False conf=0.95  (dl 0.3s, api 4.9s, total 5.1s)
[247/29611] record 66753: q=0.35 sunset=True conf=0.75  (dl 0.2s, api 2.8s, total 3.1s)
[248/29611] record 66754: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.1s, total 3.3s)
[249/29611] record 66755: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.5s, total 3.7s)
[250/29611] record 66756: q=0.45 sunset=True conf=0.70  (dl 0.2s, api 2.8s, total 3.0s)
[251/29611] record 66757: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.5s, total 3.7s)
[252/29611] record 66758: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 6.4s, total 6.6s)
[253/29611] record 66759: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 4.1s, total 4.3s)
[254/29611] record 66760: q=0.35 sunset=True conf=0.70  (dl 0.2s, api 2.9s, total 3.1s)
[255/29611] record 66761: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 2.7s, total 2.9s)
[256/29611] record 66762: q=0.00 sunset=False conf=0.95  (dl 0.2s, api 3.3s, total 3.5s)
